"muni","n_tiles","tests","dl_mbps","ul_mbps","lat_ms","dl_mbps_unw","radiance_tw","radiance_poly","adequate"
"Prishtina",350,61284,124.565717365054,45.988458994191,9.6048723973631,113.606078733032,50.4080629837816,4.38784796658428,TRUE
"Fushë Kosovë",121,14425,121.036660519931,45.0300041594454,10.1269324090121,91.0794308943089,24.5221897668524,5.78211810901591,TRUE
"Gjilan",299,15276,119.075246465043,69.6147067949725,9.08117308195863,103.815814159292,25.9560404275296,2.13324373714259,TRUE
"Obiliq",110,2857,118.579709835492,79.7553321666083,8.3801190059503,104.447679442509,12.0159447800249,4.45481227833526,TRUE
"Klina",77,1489,116.439640698455,71.6025406312962,10.9959704499664,101.055748387097,14.6248272594948,1.61552834076597,TRUE
"Peja",256,13980,115.436602288984,44.8929453505007,10.3743919885551,105.5996796875,39.4191165878921,2.4424193917088,TRUE
"Ferizaj",324,14233,112.6532967751,47.3039356425209,10.0370266282583,101.276848964677,36.8956365131875,5.09877852612472,TRUE
"Han i Elezit",12,379,112.522955145119,90.6966649076517,8.31398416886544,79.1180571428571,18.9780716355055,1.4408987560693,TRUE
"Istog",152,4255,112.154225146886,94.4666921269095,8.32314923619271,94.43638,13.3715470420068,1.26418458206385,TRUE
"Gjakova",341,13073,110.998543027614,46.1757624110763,10.5408857951503,90.8245882352941,20.6812784108884,1.746122670739,TRUE
"Deçan",70,3026,104.6028559154,23.4150687376074,12.5049570389954,76.6136571428572,11.2860404167913,1.4204840885502,TRUE
"Skenderaj",118,3083,100.182033409017,78.7584651313656,5.99870256243918,74.1461983471074,16.0646112209359,1.24887305828843,TRUE
"Prizren",447,32426,99.9891007524826,67.4154899154999,12.1852834145439,88.8010740410348,38.9521319023947,2.78292230289686,TRUE
"Podujeva",239,4274,97.5086263453439,50.4113380907815,10.4478240524099,92.6626979742173,13.3010159983053,1.50438586004157,TRUE
"Drenas",140,3039,96.1518858177032,58.0845136558078,9.09575518262586,88.2052926045016,13.8296389578596,2.69089524338138,TRUE
"Lipjan",197,4151,95.3844555528788,52.7828096844134,10.3336545410744,95.5020819672131,11.372612715428,2.46865847223439,TRUE
"Kaçanik",53,1332,94.5602792792793,37.0284406906907,10.4564564564565,85.180106870229,8.89446717178499,1.45780217171793,TRUE
"Mitrovica",157,9756,94.1156551865519,37.7366757892579,10.3218532185322,83.0196602409639,23.6913790023623,1.70246496812453,TRUE
"Suhareka",121,2131,92.0480497419052,51.2236081651807,7.99906147348663,84.8798576923077,13.1789496499907,2.10603457736198,TRUE
"Vushtrri",186,9824,89.5938139250814,35.2879573493485,8.84548045602606,82.42,21.0198406790677,2.15608874315245,TRUE
"Malisheva",96,1947,86.8395983564458,61.2020713918849,10.502311248074,96.9822037037037,11.4476127785539,2.05208001572881,TRUE
"Kamenica",82,1132,83.2961068904594,52.8112544169611,10.0220848056537,85.931056122449,5.53456965283665,0.867774979339802,TRUE
"Junik",17,557,82.7505493716338,32.9183016157989,22.8132854578097,77.5481481481481,4.33119989618579,0.888526339130283,TRUE
"Rahovec",116,6149,82.6122592291429,43.0946287201171,11.1987315010571,80.1544376899696,13.8902901682471,2.27471692424869,TRUE
"Viti",180,2966,82.0726449763992,40.5155148347943,12.6824005394471,80.5702068965517,9.94092638238973,2.22733837733602,TRUE
"Kllokot",23,406,81.2934507389163,71.6846551724138,8.48522167487685,76.77342,5.86841390050691,2.79973434177164,TRUE
"Dragash",126,2925,78.1580420512821,67.3261839316239,9.30564102564102,75.0130708955224,3.19865077169532,0.768814668294518,TRUE
"Ranillug",29,328,75.8914298780488,30.1102835365854,9.83841463414634,65.26590625,3.66392771717979,1.21113914373218,TRUE
"Shtime",93,3146,71.9946659249841,46.2800651621106,23.9656706929434,84.583640776699,11.7100064903782,2.18423387091958,TRUE
"Graçanica",112,3387,70.3381789193977,32.644373191615,11.969884853853,67.4554758364312,20.7218180334177,6.55457333068179,TRUE
"Novobërdë",10,41,63.5573658536585,54.9130731707317,12.1219512195122,55.4963333333333,1.31390088360484,1.01294608350394,FALSE
"Zveçan",35,698,56.4207578796562,15.0850229226361,18.8280802292264,53.4225211267606,8.41379731329942,1.28242526180816,TRUE
"Mamushë",14,675,51.2166296296296,34.3118962962963,6.65481481481481,46.9177857142857,9.08898751400135,3.40366449781827,TRUE
"Mitrovica e Veriut",12,2785,49.1632592459605,16.6436175942549,22.6886894075404,52.5038292682927,28.7685637938056,11.0365799633232,TRUE
"Shtërpcë",18,234,44.2342094017094,13.3430598290598,16.8888888888889,37.096725,4.09236086484713,0.814485119819941,TRUE
"Partesh",23,907,39.7519151047409,32.8418941565601,16.2888643880926,42.5547205882353,4.32211035509751,2.08420786923832,TRUE
"Zubin Potok",13,237,38.8370421940928,9.26674683544304,27.9324894514768,32.2666486486486,12.8225441441757,1.06047265592569,TRUE
"Leposaviq",28,375,27.8408346666667,6.48145333333333,19.3706666666667,25.4290576923077,17.7048403482437,0.919853302659799,TRUE
